location_name,vendor_name
CAOAL - 5300 Live Oak Ave,1-800-GOT-JUNK National
CAVEN - 2559 Palma Dr,1-800-GOT-JUNK National
CRH - Pflugerville TX,1-800-GOT-JUNK National
FL8-008-San Jose Branch,1-800-GOT-JUNK National
FLDEE - 1332 NW 3rd St,1-800-GOT-JUNK National
FLMEL - 2730 Kirby Cir NE,1-800-GOT-JUNK National
GA8-625-Oakwood (BS),1-800-GOT-JUNK National
ILRFL - 1101 Industrial Park Rd,1-800-GOT-JUNK National
INVER - 205 N Gaslight Dr,1-800-GOT-JUNK National
LEX MBO - 205 Alewife Brook Pkwy,1-800-GOT-JUNK National
MGBIC 756100-66 - 1285 Beacon St,1-800-GOT-JUNK National
NCWCH - 1815 W Pointe Dr,1-800-GOT-JUNK National
OH0B Geneva,1-800-GOT-JUNK National
OHWTC - 8779 Le St Dr,1-800-GOT-JUNK National
PA34 Pittsburgh,1-800-GOT-JUNK National
PA7-156-Shadeland Ave and Garrett,1-800-GOT-JUNK National
RGB000250  WARRINGTON,1-800-GOT-JUNK National
RGB001477  FLORIDA MALL,1-800-GOT-JUNK National
SCGRV - 291 Fairforest Way,1-800-GOT-JUNK National
STAYAPT - IRMO,1-800-GOT-JUNK National
Store 484 - Pasadena,1-800-GOT-JUNK National
Test Site,1-800-GOT-JUNK National
TNCLE - 113 Industrial Dr SW,1-800-GOT-JUNK National
TX2-979-4500 Amon Carter,1-800-GOT-JUNK National
TXKEN - 707 North Highway 123,1-800-GOT-JUNK National
TXVIC - 3002 S Laurent St,1-800-GOT-JUNK National
VAALE - 5601 Eisenhower Ave,1-800-GOT-JUNK National
001484-001 - 2231 4TH AVE S,121 Disposal Company
5360 - Woodcrest,121 Disposal Company
5364 - International Park Bldg,121 Disposal Company
5366 - Crestline Village,121 Disposal Company
Bothell - 21919 20th Ave SE,3R Technology
129 - Terre Haute CC,478 Junk
NJPAR - 799 Jefferson Rd,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
NYSTI - 1331 Travis Ave,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
PAWLG - 700 Blair Mill Rd,"A&A Iron and Metals DBA A & A Truck Parts, Inc"
MIALP - 1847 M-32,A&L Iron Metal
WIOSH - 3565 N Main St,"A&W Iron & Metal, Inc"
WISHE - 3409 Crocker Ave,"A&W Iron & Metal, Inc"
GAALB - 2219 Toledo Dr,A1 Brantley
ALOPE - 800 Fox Run Pkwy,A1 INDUSTRIAL MAINTENANCE
5462932-01-01 - Mount Vernon-2,AAA Disposal
6349 Blue Springs - West Main,AAA Disposal
6405 Higginsville - 19 & Main,AAA Disposal
6409 Independence - Hwy 24,AAA Disposal
TFF-LOS (F),AAA Rubbish Inc
TFF-MTV,AAA Trash Service
MAMAV - 475 Edgartown Rd,"ABC Disposal Services, Inc"
3635 Cedar Rapids - Council,ABC Disposal Systems
5650267 WASHINGTON,ABC Disposal Systems
IA15 Cedar Rapids,ABC Disposal Systems
ARSEA - 2000 Hastings Ave,"ABC Salvage & Metal, Inc"
GOODWILL - SEGA - COLEMAN,ABC Waste Of Savannah
GOODWILL - SEGA - JESUP,ABC Waste Of Savannah
GOODWILL - SEGA - OGEECHEE,ABC Waste Of Savannah
GOODWILL - SEGA - SALLIE MOOD,ABC Waste Of Savannah
GOODWILL - SEGA - SAVANNAH,ABC Waste Of Savannah
GOODWILL - SEGA - STATESBORO,ABC Waste Of Savannah
GOODWILL - SEGA - VICTORY DRIVE,ABC Waste Of Savannah
Site 3580 - WCCUS356,ABC Waste Of Savannah
NJVIN - 3731 N Mill Rd,Absco Metals
3848 Mason City - Downtown,ABSOLUTE WASTE REMOVAL
KYPND - 3101 Pond Station Rd,Ace Equipment Company
ILPAL - 2100 N. Hicks Road,"Ace Iron & Metals, Inc"
OH700 - 700 Manor Park Dr,"Ace Iron & Metals, Inc"
TFF-AUR,"Ace Iron & Metals, Inc"
"5000425-01-01 - North Shore 3, 4, 5, Garden P",ACE RECYCLING AND DISPOSAL
5000624-01-01 - Highland Ut Bldg #54 O,ACE RECYCLING AND DISPOSAL
5000636-01-01 - Lehi Fm Building #129 G,ACE RECYCLING AND DISPOSAL
5000808-01-01 - STANSBURY PARK UT SR SEMINARY,ACE RECYCLING AND DISPOSAL
"5000843-01-01 - MOUNTAIN POINT 3, 8, 10",ACE RECYCLING AND DISPOSAL
"5001156-01-01 - COPPER OAKS, JUNIPER CANYON,",ACE RECYCLING AND DISPOSAL
"5001670-01-01 - NORTH SHORE 6, 8, 10",ACE RECYCLING AND DISPOSAL
5001725-01-01 - Saratoga Springs Bldg #34,ACE RECYCLING AND DISPOSAL
"5002070-01-01 - Grasslands 7, Spring Creek 21",ACE RECYCLING AND DISPOSAL
"5002080-01-01 - River Trail, River View, SpT",ACE RECYCLING AND DISPOSAL
5003135-02-01 - Highland Utah Central Stk Pav,ACE RECYCLING AND DISPOSAL
5004385-01-01 - SOUTH JORDAN UT PARADIGM CHAR,ACE RECYCLING AND DISPOSAL
5004501-01-01 - Saratoga Springs Fm Bldg #52,ACE RECYCLING AND DISPOSAL
5004599-01-01 - SPRINGVILLE UT MERIT ACADEMY,ACE RECYCLING AND DISPOSAL
5004672-02-01 - American Fork   #4,ACE RECYCLING AND DISPOSAL
"5004697-01-01 - Spanish Fork 2, 21 TO, 24",ACE RECYCLING AND DISPOSAL
"5006830-01-01 - RUSHTON VIEW 1, 3, 8",ACE RECYCLING AND DISPOSAL
5007430-02-01 - Saratoga Fm Group #23,ACE RECYCLING AND DISPOSAL
"5008259-01-01 - BLUFFDALE 11, 12, SAGE",ACE RECYCLING AND DISPOSAL
5008705-01-01 - American Fork Fm Grp Bldg #36,ACE RECYCLING AND DISPOSAL
5009663-02-01 - Lehi Bldg #105,ACE RECYCLING AND DISPOSAL
"5009678-01-01 - BUTTERFIELD PARK, MORNING LIG",ACE RECYCLING AND DISPOSAL
5011333-01-01 - Saratoga Fm Group #56,ACE RECYCLING AND DISPOSAL
"5003305-01-01 - Herriman Rose 4, 5, 6 Sp, P",ACE RECYCLING AND DISPOSAL
5003307-01-01 - South Jordan Building #23 L,ACE RECYCLING AND DISPOSAL
5007431-01-01 - Stake Center #20,ACE RECYCLING AND DISPOSAL
"5007442-01-01 - PROVO PEAK 6, 10, 12",ACE RECYCLING AND DISPOSAL
"5007683-01-01 - Pheasant Valley, Spring Canyo",ACE RECYCLING AND DISPOSAL
5008152-01-01 - SPRINGVILLE UT JR SEMINARY,ACE RECYCLING AND DISPOSAL
5008473-01-01 - Saratoga Springs Fm Group #19,ACE RECYCLING AND DISPOSAL
5008499-01-01 - Lehi Fm Building #115,ACE RECYCLING AND DISPOSAL
5009288-02-01 - Mapleton UT West Stake Pavili,ACE RECYCLING AND DISPOSAL
5009711-01-01 - Saratoga Springs Fm Group #61,ACE RECYCLING AND DISPOSAL
5011696-02-01 - Pavilion-3,ACE RECYCLING AND DISPOSAL
"5012081-01-01 - Grasslands 2, 3, 6",ACE RECYCLING AND DISPOSAL
5012700-01-01 - Vinyard UT Grove Park Stake C,ACE RECYCLING AND DISPOSAL
5013419-02-01 - Herriman UT Mtn Ridge Sr Semi,ACE RECYCLING AND DISPOSAL
5014024-02-01 - Jordan  Bldg #12,ACE RECYCLING AND DISPOSAL
5018158-01-01 - Herriman Slcc Campus #92 G,ACE RECYCLING AND DISPOSAL
"5041414-01-01 - Bountiful 6 Tongan, North C",ACE RECYCLING AND DISPOSAL
"5048958-01-01 - Sharon 5, 6, 8,",ACE RECYCLING AND DISPOSAL
5048982-01-02 - Tooele UT FM Office,ACE RECYCLING AND DISPOSAL
"5049032-01-01 - GRANTSVILLE 1, 5",ACE RECYCLING AND DISPOSAL
5049083-01-01 - Orem UT Orem Jr Seminary,ACE RECYCLING AND DISPOSAL
"5049164-01-01 - BONNEVILLE 1, 5, 7 SP",ACE RECYCLING AND DISPOSAL
"5049253-01-01 - Alpine 5, Mountainville 2 Hi",ACE RECYCLING AND DISPOSAL
"5049423-01-01 - Edgemont 2, 7",ACE RECYCLING AND DISPOSAL
"5050170-01-01 - Provo Married 1, 4, 5, 7, 8,1",ACE RECYCLING AND DISPOSAL
"5050529-01-01 - BONNEVILLE 3, 12, SLATE CANYO",ACE RECYCLING AND DISPOSAL
"5050545-01-01 - PROVO 11 TNGN, 12 SMN, YS",ACE RECYCLING AND DISPOSAL
"5050693-01-01 - Grove Park 5, 6, 10",ACE RECYCLING AND DISPOSAL
"5050820-01-01 - KOLOB 2, 7, 8",ACE RECYCLING AND DISPOSAL
"5051231-01-01 - LAKESIDE 1, 8",ACE RECYCLING AND DISPOSAL
"5051355-01-01 - CASCADE 6, 7",ACE RECYCLING AND DISPOSAL
5051495-01-01 - WOODLAND,ACE RECYCLING AND DISPOSAL
5051878-02-01 - TOOELE UT INSTITUTE,ACE RECYCLING AND DISPOSAL
"5052009-01-01 - HILLCREST 1, 2, 3",ACE RECYCLING AND DISPOSAL
"5054036-01-01 - LAKERIDGE 6, 7, 8",ACE RECYCLING AND DISPOSAL
"5054109-03-01 - Grove, PG 2, 9",ACE RECYCLING AND DISPOSAL
"5054478-01-01 - Sharon 1, 2, Orem YSA 24",ACE RECYCLING AND DISPOSAL
"5056942-01-01 - Provo YSA 2, 6, 7, 9  Histo",ACE RECYCLING AND DISPOSAL
"5059437-01-01 - GRANDVIEW 14, 15, 17, PROVO Y",ACE RECYCLING AND DISPOSAL
"5059577-01-01 - GRANDVIEW 6, 10, 21, PROVO YS",ACE RECYCLING AND DISPOSAL
5059666-01-01 - Springville UT Springville Sr,ACE RECYCLING AND DISPOSAL
"5063558-01-01 - Canyn Vw 8, Orchard 3, 7, Ore",ACE RECYCLING AND DISPOSAL
5065348-01-01 - East Millcreek #10 G K,ACE RECYCLING AND DISPOSAL
"5065429-01-01 - LITTLE COTTONWOOD 9, 14, 20",ACE RECYCLING AND DISPOSAL
5065453-01-01 - KEARNS 10,ACE RECYCLING AND DISPOSAL
5065623-01-02 - Atherton Branch Correctional,ACE RECYCLING AND DISPOSAL
5065747-01-01 - Olympus North #2,ACE RECYCLING AND DISPOSAL
5065860-01-01 - Sandy-granite #18 O,ACE RECYCLING AND DISPOSAL
"5066034-01-01 - CANYON RIM 3, 4, HIGHLAND VIE",ACE RECYCLING AND DISPOSAL
"5066166-01-02 - Midvale 5, 6 FHC Non-Authori",ACE RECYCLING AND DISPOSAL
5066239-01-02 - Murray Utah Little Cottonwood,ACE RECYCLING AND DISPOSAL
"5066301-01-01 - ALTA HEIGHTS, PERUVIAN PARK",ACE RECYCLING AND DISPOSAL
5066646-01-01 - Sl Mt Olympus #95,ACE RECYCLING AND DISPOSAL
5066743-01-01 - Butler #16 L,ACE RECYCLING AND DISPOSAL
"5066786-01-01 - ALBION, INDIAN RIDGE, LONDOND",ACE RECYCLING AND DISPOSAL
"5066883-01-01 - UNION PARK 2, 4",ACE RECYCLING AND DISPOSAL
5066905-01-01 - Olympus North #87,ACE RECYCLING AND DISPOSAL
"5066980-01-01 - Central Prk, Crossrds Sq Nep",ACE RECYCLING AND DISPOSAL
5067146-01-01 - HILLTOP,ACE RECYCLING AND DISPOSAL
"5067294-01-01 - 46 6 Granger 9, Hunter 7, 13,",ACE RECYCLING AND DISPOSAL
5067383-01-01 - Cottonwood #23 L,ACE RECYCLING AND DISPOSAL
5067405-01-01 - Olympus #24 L,ACE RECYCLING AND DISPOSAL
"5067510-01-01 - CRYSTAL HEIGHTS 1, 2",ACE RECYCLING AND DISPOSAL
"5067588-01-01 - CRESTVIEW, EMIGRATION CANYON",ACE RECYCLING AND DISPOSAL
5067677-03-01 - Family History Center - 9119,ACE RECYCLING AND DISPOSAL
5067782-01-01 - Mt. Olympus Bldg #9,ACE RECYCLING AND DISPOSAL
"5067804-01-01 - Stratford, Stratford East Hi",ACE RECYCLING AND DISPOSAL
"5067812-01-01 - Liberty 7 Tongan, Wasatch 7",ACE RECYCLING AND DISPOSAL
5067979-02-01 - Garden Park Carriage House B2,ACE RECYCLING AND DISPOSAL
"5067987-01-01 - GRANDVIEW, KENWOOD 2",ACE RECYCLING AND DISPOSAL
5068061-01-01 - Emerson Historic Building,ACE RECYCLING AND DISPOSAL
5068118-01-01 - Mt. Olympus #41,ACE RECYCLING AND DISPOSAL
"5068207-01-01 - 25 12 Hunter 2, Mapusaga",ACE RECYCLING AND DISPOSAL
5068290-01-02 - SL Cannon Stk FHC Non-Author,ACE RECYCLING AND DISPOSAL
"5068347-02-01 - WASATCH 5, 6",ACE RECYCLING AND DISPOSAL
"5068711-03-01 - 114 50 Edison, Poplar Grove,",ACE RECYCLING AND DISPOSAL
5076277-01-01 - RICHARDS,ACE RECYCLING AND DISPOSAL
"5076323-01-01 - BLUFFDALE YSA, INDEPENDENCE Y",ACE RECYCLING AND DISPOSAL
5076595-01-02 - SL Married Student 2 Stk FHC,ACE RECYCLING AND DISPOSAL
5076897-01-01 - Institute - SLC Westminster,ACE RECYCLING AND DISPOSAL
5079039-01-01 - Salt Lake YSA 2 Tongan,ACE RECYCLING AND DISPOSAL
"5079551-01-01 - 97 23 Decker Lake, Lehi Sp",ACE RECYCLING AND DISPOSAL
5079616-01-01 Mt. Olympus  Bldg #76,ACE RECYCLING AND DISPOSAL
5079659-01-01 - 117 52 SL Pioneer Stk Gym Har,ACE RECYCLING AND DISPOSAL
5079705-01-01 - East Millcreek North #97,ACE RECYCLING AND DISPOSAL
"5081742-01-01 - MURRAY 13, 29, WINCHESTER",ACE RECYCLING AND DISPOSAL
"5095891-01-01 - Hillcrest 6, 8, Provo YSA 222",ACE RECYCLING AND DISPOSAL
"5107962-01-01 - CORNER CANYON 2, 4, 7",ACE RECYCLING AND DISPOSAL
"5113857-01-01 - Midvale East 2, 6",ACE RECYCLING AND DISPOSAL
5114446-01-01 - 14 Tooele 11 14,ACE RECYCLING AND DISPOSAL
5118603-01-01 - Bountiful Bldg #7 O,ACE RECYCLING AND DISPOSAL
5125936-01-01 - Olympus #88,ACE RECYCLING AND DISPOSAL
5126371-01-02 - Sunset Heights FHC,ACE RECYCLING AND DISPOSAL
5127130-01-01 - Bountiful Bldg#10 O,ACE RECYCLING AND DISPOSAL
"5130239-01-01 - Orem 1, 2, 9,",ACE RECYCLING AND DISPOSAL
5132266-01-01 - 67 28 Taylorsville 2 Dinka/N,ACE RECYCLING AND DISPOSAL
5134579-01-01 - Salt Lake Ensign Fm Group G,ACE RECYCLING AND DISPOSAL
BENIHANA #1057 - CHANDLER,1-800-Got-Junk
401 - Springfield,1-800-GOT-JUNK National
5000969-02-01 - MISSOURI CITY SP SHADOW CREEK,1-800-GOT-JUNK National
5027322-01-02 - Auburn Green River Olympic Ma,1-800-GOT-JUNK National
5040094-01-01 - Braes Bayou YSA Herman Park M,1-800-GOT-JUNK National
5046122-01-01 - Yucaipa Stake Center,1-800-GOT-JUNK National
5046521-01-01 - Reno Ysa Sparks Ysa,1-800-GOT-JUNK National
5063574-01-01 - MANKATO,1-800-GOT-JUNK National
508 - Shelby Township,1-800-GOT-JUNK National
"5114713-01-01 - Holladay 3, Holladay SA &",1-800-GOT-JUNK National
"5115876-01-01 - BOUNTIFUL 7, 15",1-800-GOT-JUNK National
5126 Estes Park - Elkhorn Ave,1-800-GOT-JUNK National
5156254-01-01 - Plummer Northridge 1 Ysa,1-800-GOT-JUNK National
5246377-01-01 - Harris  Evergreen,1-800-GOT-JUNK National
5247667-01-01 - ROCKDALE,1-800-GOT-JUNK National
5352452-01-01 - Ingomar Reseda,1-800-GOT-JUNK National
5385512-01-01 - Nisqually Lacey 3 4 6,1-800-GOT-JUNK National
5406161-01-01 - Lakeside - Lk,1-800-GOT-JUNK National
"5431123-01-01 - OAKRIDGE FARMS, ORCHARD, SHEP",1-800-GOT-JUNK National
"5433460-01-01 - ASPEN MEADOWS 2, 3, CROSSWIND",1-800-GOT-JUNK National
"5440319-01-01 - EDGEMONT 10, FOOTHILL, SHERWO",1-800-GOT-JUNK National
5503957-01-01 - Sallisaw,1-800-GOT-JUNK National
5600421-01-01 - Reno Nv Storehouse,1-800-GOT-JUNK National
714 - Richmond,1-800-GOT-JUNK National
8173 Auburn - 15th Street,1-800-GOT-JUNK National
9161 Vacaville - Merchant,1-800-GOT-JUNK National
9952 Rancho Cucamonga - Alta Loma,1-800-GOT-JUNK National
AOC HQ - 575 Marietta St NW,1-800-GOT-JUNK National
AZPHO - 3150 N 31st Ave,1-800-GOT-JUNK National
AZTRG Tempe - 750 E Guadalupe Rd,1-800-GOT-JUNK National
BENIHANA #1004 - BETHESDA,1-800-GOT-JUNK National
BWH 756100-04 - 850 Boylston St,1-800-GOT-JUNK National
CAHYC - 100 Halcyon Dr,1-800-GOT-JUNK National
CASNR - 4500 Norris Canyon Rd,1-800-GOT-JUNK National
COPT - 41900,1-800-GOT-JUNK National
COPT - 41910,1-800-GOT-JUNK National
COPT - 44840,1-800-GOT-JUNK National
CRH-03313,1-800-GOT-JUNK National
FIDELITY - 100 NEW MILLENNIUM WAY,1-800-GOT-JUNK National
FIDELITY - 245 SUMMER ST,1-800-GOT-JUNK National
FL8-270-Stadium,1-800-GOT-JUNK National
FLPOR - 6834 Industrial Ave,1-800-GOT-JUNK National
GW - KY WEST - SAINT MATTHEWS,1-800-GOT-JUNK National
GW - KY WEST - THE OUTLET,1-800-GOT-JUNK National
Harmony Public School,1-800-GOT-JUNK National
INFLD - 10095 Bradford Rd,1-800-GOT-JUNK National
ISCO MULBERRY 2,1-800-GOT-JUNK National
KSQ - 500 Kendall St,1-800-GOT-JUNK National
MABOY - 99 Hartwell St,1-800-GOT-JUNK National
MADAR - 373 Cross Rd,1-800-GOT-JUNK National
MCKOH004 - Urbancrest,1-800-GOT-JUNK National
MDGAI - 9401 Gaither Rd,1-800-GOT-JUNK National
NDFAR - 3901 12th Ave,1-800-GOT-JUNK National
NJMEA - 493 County Ave,1-800-GOT-JUNK National
OHCEL - 1851 Industrial Dr,1-800-GOT-JUNK National
PANERA BREAD - PNR202569,1-800-GOT-JUNK National
PATWN - 2110 N Union St,1-800-GOT-JUNK National
RGB001004  NORTHGATE NORTHPOINT BLVD,1-800-GOT-JUNK National
RGB001531  CE RIVERCHASE OP CENTER,1-800-GOT-JUNK National
RNSD - 2500 Cruzen St,1-800-GOT-JUNK National
Rose Orchard Way - San Jose CA (F),1-800-GOT-JUNK National
SCLON - 8470 Water Tower Rd,1-800-GOT-JUNK National
