vendor_name,normalized_vendor
CAVOSSA DISPOSAL CORPORATION,CAVOSSA DISPOSAL CORPORATION
Certified Enterprises Inc.,"CERTIFIED ENTERPRISES, INC"
"Chambersburg Waste Paper Co., Inc.",CHAMBERSBURG WASTE PAPER
Chambersburg Waste Paper,CHAMBERSBURG WASTE PAPER
Chrin Hauling Inc,CHRIN HAULING
Chrin Hauling,CHRIN HAULING
Chris Rizzo Trucking Inc.,CHRIS RIZZO TRUCKING INC
CHRIS RIZZO TRUCKING INC.,CHRIS RIZZO TRUCKING INC
CITY OF ATHENS,CITY OF ATHENS
City of Athens,CITY OF ATHENS
CITY OF ROCK HILL,CITY OF ROCK HILL
CITY OF SEVIERVILLE,CITY OF SEVIERVILLE
City of Tullahoma,CITY OF TULLAHOMA
City Waste LLP,"CITY WASTE, LLP"
"COCKEY'S ENTERPRISES, INC.","COCKEY'S ENTERPRISES, INC"
Cocolamus Creek Disposal Service,COCOLAMUS CREEK DISPOSAL SERVICE
Coeur d'Alene GARBAGE,COEUR D'ALENE GARBAGE
Coeur d' Alene Garbage,COEUR D'ALENE GARBAGE
"COPPER STATE SANITATION, INC.",COPPER STATE SANITATION
CPM Recycling Services Inc,CPM Recycling Services Inc
"CRP Sanitation, Inc.",CRP Sanitation Inc
CRP Sanitation,CRP Sanitation Inc
"CWPM, LLC","CWPM, LLC"
CWSI Controlled Waste Systems Inc.,"CWSI - Controlled Waste Systems, Inc."
"CALIFORNIA Recyclers, Inc.",California Recyclers Inc
California Recyclers,California Recyclers Inc
Canusa Hershman,Canusa Hershman
Capital Area Refuse LLC,Capital Area Refuse
CAPITAL CITY Refuse,Capital City Refuse
CARDS EASTERN OK,Cards Eastern OK
Carrier Container Company,Carrier Container Company
CASELLA MAJOR ACCOUNTS SERVICES LLC,Casella Major Accounts Services LLC
CASELLA WASTE SYSTEMS,Casella Waste
Casella,Casella Waste
casella,Casella Waste
Centennial Park Disposal,Centennial Park Disposal
CENTRAL ILLINOIS DISPOSAL,Central Illinois Disposal
CENTRAL KENTUCKY HAULING,Central Kentucky Hauling Llc
CENTRAL VALLEY DISPOSAL,Central Valley Disposal
Centre Water Works &,Centre Water Works
Centre Water Works,Centre Water Works
Charlie's Waste Services,Charlie's Waste Services
Checksammy,CheckSammy
CheckSammy,CheckSammy
"Chisago Lakes Sanitation, LLC.",Chisago Lakes Sanitation
"Chism's Trash Service, Inc.",Chism's Trash Service
Chism's Trash Service,Chism's Trash Service
Circle Sanitation Inc,"Circle Sanitation, Inc"
CIRCLE SANITATION,"Circle Sanitation, Inc"
Circle Sanitation,"Circle Sanitation, Inc"
Citishred,CitiShred
City of Bardstown,City Of Bardstown
CITY SANITARY SERVICE,City Sanitary Service
"City Waste Services of New York, Inc.",City Waste Services of New York
"City eWaste, LLC",City eWaste
City of Arkadelphia,City of Arkadelphia
City of Ashton,City of Ashton
City of Aztec,City of Aztec
City of Bakersfield,City of Bakersfield
CITY OF BEATRICE,City of Beatrice
CITY OF BLACKFOOT,City of Blackfoot
City of Blackfoot,City of Blackfoot
"City of Boise, ID","City of Boise, ID"
City of Buford,City of Buford
City of Caldwell,City of Caldwell
City of Claremont,City of Claremont
CITY OF CLAREMONT,City of Claremont
City of Columbia,City of Columbia
City of Cookeville,City of Cookeville
CITY OF COOKEVILLE,City of Cookeville
City of Craig,"City of Craig, CO"
CITY OF CULVER CITY,City of Culver City
CITY OF DALY CITY,City of Daly City
CITY OF DEERFIELD BEACH,City of Deerfield Beach
City of Del Rio,City of Del Rio
City of Denton,City of Denton
City of Devils Lake,City of Devils Lake
City of Dickinson,City of Dickinson
CITY OF DUMAS,City of Dumas
City of Dumas,City of Dumas
City of Durango,City of Durango - CO
CITY of DURANGO,City of Durango - CO
City of Durant,City of Durant
City of Eagle Pass,City of Eagle Pass
City of Emporia,City of Emporia
City of Enumclaw,City of Enumclaw
CITY OF FARGO,City of Fargo
City of Fergus Falls,City of Fergus Falls
CITY OF FLAGSTAFF,City of Flagstaff
City of Foley,City of Foley
CITY OF Grand Junction,City of Grand Junction
City of Grand Junction,City of Grand Junction
City of Green River,City of Green River
CITY OF HENAGAR,City of Henagar
City of Jackson,City of Jackson
City of Jacksonville,City of Jacksonville
City of Killeen,City of Killeen
City of Kirkland WA,City of Kirkland WA
CITY OF LAKE MARY,City of Lake Mary
City of Lamar,"City of Lamar, CO"
City of Laramie,City of Laramie
City of Lompoc,City of Lompoc
City of Lordsburg,City of Lordsburg
City of Meridian -,City of Meridian
City of Meridian,City of Meridian
CITY OF MERIDIAN,City of Meridian
City of Mesa,City of Mesa
CITY OF MOUNTAIN IRON,City of Mountain Iron
City of Nampa,City of Nampa
City of Olathe,City of Olathe
City of Pikeville,City of Pikeville
CITY OF PLEASANTON,City of Pleasanton
City of RED WING,City of RED WING
City of Red Wing,City of RED WING
City of Riverton,City of Riverton
CITY OF RIVERTON,City of Riverton
City of Rolla,City of Rolla
CITY OF SANTA BARBARA,City of Santa Barbara
City of Schertz,City of Schertz
CITY OF SCOTTSBLUFF,City of Scottsbluff
City of SCOTTSBLUFF,City of Scottsbluff
