vendor_name,normalized_vendor
Revolution Recycling,Revolution Recycling
Reworld Waste,Reworld Waste LLC
Rhino Waste & Recycling,Rhino Waste & Recycling Inc.
"RHINO WASTE & RECYCLING, INC.",Rhino Waste & Recycling Inc.
"RHINO WASTE & RECYCLING,",Rhino Waste & Recycling Inc.
Rich County Sanitation,Rich County Sanitation
RICH COUNTY SANITATION,Rich County Sanitation
Richardson Waste,Richardson Waste
"RightAway RollOff, LLC","RightAway RollOff, LLC"
RIVER PARISH DISPOSAL LLC.,River Parish Disposal Llc
"RIVER PARISH DISPOSAL, LLC",River Parish Disposal Llc
River Parish Disposal,River Parish Disposal Llc
Roadrunner Sanitation,Roadrunner Sanitation
ROADRUNNER SANITATION,Roadrunner Sanitation
ROBINSON WASTE SERVICES - UTAH,Robinson Waste Services-Utah
Robinson Waste Services-Utah,Robinson Waste Services-Utah
"ROLL OFF SYSTEMS, Inc.",Roll off Systems
Roll-Off Chick,"Roll-Off Chick, LLC."
Roll Off Chick,"Roll-Off Chick, LLC."
Roosevelt City,Roosevelt City
ROOSEVELT CITY,Roosevelt City
ROSEBURG DISPOSAL,Roseburg Disposal
Roseburg Disposal,Roseburg Disposal
ROYAL Carting Service,Royal Carting Service Co
Royal Document Destruction,Royal Document Destruction
Royal Oak Recycling,Royal Oak Recycling
ROYAL SANITATION,Royal Sanitation LLC
Rubatino REFUSE REMOVAL LLC.,Rubatino Refuse Removal
RUBBAGE CONTROL,Rubbage Control
Rubbage Control,Rubbage Control
Rumpke,Rumpke
RUMPKE,Rumpke
S&S METALS,"S&S Metals, Inc"
S&S Metals,"S&S Metals, Inc"
S&S Sanitation,S&S Sanitation
S & S Scrap Metal Inc,"S&S Scrap Metal, Inc"
S&S Scrap Metal Inc.,"S&S Scrap Metal, Inc"
S&S Scrap Metal Inc,"S&S Scrap Metal, Inc"
SA Recycling,SA Recycling LLC
SA Recycling LLC,SA Recycling LLC
SANTA CRUZ MUNICIPAL UTILITIES,SANTA CRUZ MUNICIPAL UTILITIES
"SAVE THAT STUFF, INC.","SAVE THAT STUFF, INC"
SBC Waste Solutions,SBC Waste Solutions Inc
"SBC Waste Solutions, Inc.",SBC Waste Solutions Inc
SBC WASTE SOLUTIONS,SBC Waste Solutions Inc
SEM - Sustainable Environmental Management,SEM - Sustainable Environmental Management
"SGS, LLC dba Carroll Refuse Service",SGS LLC DBA Carroll Refuse Service
SH Recycling,SH Recycling
SHANK WASTE SERVICE INC,SHANK WASTE SERVICE
Standard Waste Services,STANDARD WASTE SERVICES
STANDARD WASTE SERVICES,STANDARD WASTE SERVICES
Stevens Disposal,STEVENS DISPOSAL
Stevens Disposal &,STEVENS DISPOSAL
Styro Recycle LLC,STYRO RECYCLE LLC
SWINGER SANITATION,SWINGER SANITATION
SAGE Disposal,"Sage Disposal, LLC"
Same Day Dumpsters,Same Day Dumpsters
Sanitary Service Company,Sanitary Service Company
SANITATION ONE,Sanitation One
Sanitation One,Sanitation One
SANITATION SOLUTIONS INC.,Sanitation Solutions
SANITATION SOLUTIONS INC,Sanitation Solutions
"SANITATION SOLUTIONS, INC.",Sanitation Solutions
Scrap It,"Scrap-It, Inc."
Scraps Mile High,Scraps Mile High
SEAGRAVES PLUMBING,Seagraves Plumbing
Secrest Disposal,Secrest Disposal Co.
Secrest Disposal Co,Secrest Disposal Co.
Secrest Disposal Co.,Secrest Disposal Co.
Selk Sanitation,Selk Sanitation
Serious Sanitation Inc,Serious Sanitation
"Service Recycling, LLC.",Service Recycling
Shred It,Shred-it
Shred-It,Shred-it
Shred360,"Shred360, LLC"
"SHULAR'S TRASH SERVICE, LLC",Shular's Trash Service
Signature Dumpster Rentals,Signature Dumpster Rentals
Silverback Haulers LLC,Silverback Haulers LLC
SILVERBACK HAULERS,Silverback Haulers LLC
Silverback Haulers,Silverback Haulers LLC
Skjeveland Enterprises,Skjeveland Enterprises
"SKYHOOK, LLC.","SkyHook, LLC"
SKYHOOK,"SkyHook, LLC"
Smarttrash,SmartTrash
SmartTrash,SmartTrash
"Smash Franchise Partners, LLC","Smash Franchise Partners, LLC"
"Smith Creek, Inc.",Smith Creek
SMITH CREEK,Smith Creek
"Smoky Mountain Waste, LLC",Smoky Mountain Waste LLC
"Snake River Dispose-All, Inc.",Snake River Dispose-All
So Much More Space,So Much More Space
Solid Rock Waste LLC,Solid Rock Waste
"Solid Waste Services of WV, Inc.","Solid Waste Services of WV, Inc."
Somerset Utilities,Somerset Utilities
Sonoran Ranch Services,Sonoran Ranch Services
SONORAN RANCH SERVICES,Sonoran Ranch Services
Sound Disposal Inc.,Sound Disposal Inc.
"SOUND DISPOSAL, INC.",Sound Disposal Inc.
South Central Junk Removal,South Central Junk Removal LLC
"South Shore Disposal, Inc.",South Shore Disposal
"South Tahoe Refuse Co., Inc","South Tahoe Refuse Co., Inc"
South Tahoe Refuse,"South Tahoe Refuse Co., Inc"
Southeast Recycling Group,Southeast Recycling Group
Southern Illinois Waste Container LLC,Southern Illinois Waste Container
"Southern Oregon Sanitation, Inc.",Southern Oregon Sanitation
Southern Sanitation,Southern Sanitation
"SOUTHWEST SANITATION, INC",Southwest Sanitation
Sparks Junk Removal & Hauling,Sparks Junk Removal & Hauling
Specialty Pallet + Crate,Specialty Pallet & Crate
Specialty Pallet & Crate,Specialty Pallet & Crate
Specialty Pallet Crate,Specialty Pallet & Crate
Specialty Pallet+ Crate,Specialty Pallet & Crate
SPEEDY DUMP,"Speedy Dump, LLC"
"Speedy Dump, LLC","Speedy Dump, LLC"
Sphuler Disposal,Sphuler Disposal
"Stafford Solid Waste, Inc.",Stafford Solid Waste
"Stanphill Sanitation, LLC.",Stanphill Sanitation LLC
"Star Waste Systems, LLC",Star Waste Systems
STARGATE METALS,"Stargate Metals, LLC"
STEP UP DISPOSALS,Step Up Disposals
"Stericycle, Inc.",Stericycle
"Stericycle, Inc",Stericycle
Stericycle Inc,Stericycle
"STERICYCLE, INC.",Stericycle
"STERICYCLE, INC",Stericycle
Stericycle,Stericycle
Steve's Sanitation,"Steve's Sanitation, Inc"
"STEVE'S SANITATION, INC.","Steve's Sanitation, Inc"
Stewart Sanitation,Stewart Sanitation
STRYKER ENVIRONMENTAL,Stryker Environmental
Stryker Environmental,Stryker Environmental
Stryker Environmental LLC,Stryker Environmental
STUTZMAN REFUSE DISPOSAL,Stutzman Refuse Disposal Inc.
Suburban Disposal,Suburban Disposal
SUBURBAN DISPOSAL,Suburban Disposal
Suburban Waste Services,Suburban Waste Services
Sulpher Springs Sanitation LLC,Sulpher Springs Sanitation
Summit Waste & Recycling,Summit Waste & Recycling LLC
"Sunrise Sanitation Service, Inc.",Sunrise Sanitation Service Inc.
Sunshine Disposal & Recycling,Sunshine Disposal & Recycling
Sunshine Disposal & Recycling*,Sunshine Disposal & Recycling
Sunshine Disposal & Recycling®,Sunshine Disposal & Recycling
Superior Waste Services of New York Inc.,Superior Waste Services of New York
SUTHERLIN SANITARY SERVICE LLC.,Sutherlin Sanitary Service LLC
Sutherlin Sanitary Service,Sutherlin Sanitary Service LLC
Sutter Disposal,Sutter Disposal
"Sutton Disposal Service, LLC",Sutton Disposal Service LLC
Swanson Solutions LLC,Swanson Solutions
SWEETLAND LTD,Sweetland Ltd
Sweitzer Waste Removal,Sweitzer Waste Removal
SWI Specific Waste Industries,Swi - Specific Waste Industries
T&S TRASH SERVICE,T & S Trash Service
T & S TRASH SERVICE,T & S Trash Service
T & G Sanitation,T&G Sanitation
TBS WASTE LLC,TBS Waste LLC
TFC Recycling,TFC Recycling
THE TRASH COMPANY,THE TRASH COMPANY
Thompson's Sanitary Service,THOMPSON'S SANITARY SERVICE
THOMPSON'S SANITARY SERVICE,THOMPSON'S SANITARY SERVICE
"THOMPSON'S SANITARY SERVICE, INC",THOMPSON'S SANITARY SERVICE
Tiger Sanitation LLC,TIGER SANITATION
"Tiger Sanitation, LLC",TIGER SANITATION
TIGER SANITATION,TIGER SANITATION
Tiger Sanitation,TIGER SANITATION
TIGER TRASH,TIGER TRASH
Tiger Trash,TIGER TRASH
TNR Hauling,TNR Hauling
Tower Compactor Rental,TOWER COMPACTOR RENTAL
Town & Country Sanitation Inc,TOWN & COUNTRY SANITATION
Trash Control Inc,"TRASH CONTROL, INC"
TRASH CONTROL,"TRASH CONTROL, INC"
TRI-COUNTY INDUSTRIES INC,TRI-COUNTY INDUSTRIES
TRIPLE H ENTERPRISES LLC,TRIPLE H ENTERPRISES
TYGARTS VALLEY SANITATION INC.,TYGARTS VALLEY SANITATION
Tahoe Basin Container & Recycling Services,Tahoe Basin Container & Recycling Services
Tahoe Truckee Sierra Disposal,Tahoe Truckee Sierra Disposal
Tate Services,Tate Services Inc
TEG Lease,Teg Lease
Temps Disposal Service,Temps Disposal Service
"Tennessee Waste Haulers, LLC","Tennessee Waste Haulers, LLC"
Tennis Sanitation LLC,Tennis Sanitation
TEXAS COMMERCIAL WASTE,Texas Commercial Waste
Texas Commercial Waste,Texas Commercial Waste
Texas Port Recycling,Texas Port Recycling
TEXAS PRIDE,Texas Pride
Texas Shred,Texas Shred
"The Diamond Disposal, Inc","The Diamond Disposal, Inc"
The Diamond Disposal,"The Diamond Disposal, Inc"
The PennOhio Corporation,The PennOhio Corporation
The Shred Truck,The Shred Truck
The Trash Man,The Trash Man
THE TRASH MAN,The Trash Man
Thomas Refuse,Thomas Refuse
"Thompson Sanitation, Inc.",Thompson Sanitation
Thompson Sanitation,Thompson Sanitation
Thompson Sanitation Corp,Thompson Sanitation Corp
Timberline LLC,Timberline LLC
Tims Trash Service,Tims Trash Service
Tom Danley Disposal LLC,Tom Danley Disposal. LLC
Tomahawk Disposal,Tomahawk Disposal
Tonto Basin Sanitation,Tonto Basin Sanitation
TORREZ SANITATION LLC,Torrez Sanitation LLC
Total Disposal Inc.,Total Disposal
Total Disposal,Total Disposal
"TOTAL RECLAIM, INC",Total Reclaim
"TOTAL RECLAIM, INC.",Total Reclaim
Total Reclaim,Total Reclaim
Total Reclaim Inc,Total Reclaim
Total Recycling,"Total Recycling, LLC"
Total Waste Management,Total Waste Management
Town of Diamondville,Town of Diamondville
Town of Dutch John,Town of Dutch John
Town of Gardnerville,Town of Gardnerville
TOWN OF LAKE PARK,Town of Lake Park
Town of Lake Park,Town of Lake Park
TOWN OF LIMON,Town of Limon CO
Town of Lusk,Town of Lusk
Town of Wheatland,Town of Wheatland
Town of Wickenburg,Town of Wickenburg
Trans Trash,Trans Trash
Trash Eaters LLC,Trash Eaters LLC
TRASH KANS,"Trash Kans, LLC"
Trash Kans,"Trash Kans, LLC"
Trash Rangers,Trash Rangers LLC
Trash Rangers LLC,Trash Rangers LLC
TRASH TAXI of ALABAMA LLC,"Trash Taxi of Alabama, LLC"
"TRASH TAXI OF GA., LLC",Trash Taxi of GA
Trash Taxi of GA,Trash Taxi of GA
"TRASH TAXI OF GA.,LLC",Trash Taxi of GA
TREASURE COAST RECYCLING INC,Treasure Coast Recycling
Tri-City Disposal,Tri-City Disposal
TRI-CITY DISPOSAL,Tri-City Disposal
"Tri-State Carting, Inc.",Tri-State Carting
TRIDENT WASTE & RECYCLING,Trident Waste & Recycling
"Triple-H DISPOSAL, LLC",Triple H Disposal
Triple-H Disposal,Triple H Disposal
Triple H Disposal,Triple H Disposal
"Triple H DISPOSAL, LLC",Triple H Disposal
Troiano Waste Services Inc.,"Troiano Waste Services, Inc"
Tropical Trash,Tropical Trash
Troupe waste & recycling,Troupe Waste & Recycling
Two Men and a Junk Truck,Two Men and a Junk Truck
U & I Sanitation,U&I SANITATION
U & I SANITATION,U&I SANITATION
Universal Waste Systems,UNIVERSAL WASTE SYSTEMS
Universal Waste Systems Inc,UNIVERSAL WASTE SYSTEMS
Universal Waste Systems INC,UNIVERSAL WASTE SYSTEMS
UNIVERSAL WASTE SYSTEMS INC.,UNIVERSAL WASTE SYSTEMS
Updike Industries,UPDIKE INDUSTRIES
"Updike Industries, Inc.",UPDIKE INDUSTRIES
"USA WASTE & RECYCLING, INC.",USA Waste & Recycling
Ultimate Dumpsters,Ultimate Dumpsters
United Rentals,United Rentals
UNITED STATES DISPOSAL SERVICE,United States Disposal Service
United Waste Systems,United Waste Systems
Uribe Refuse Services,Uribe Refuse Services
Valley Sanitation LLC,VALLEY SANITATION
Veolia ES Technical Solutions,"VEOLIA ES TECHNICAL SOLUTIONS, LLC"
VLS Environmental Solutions,VLS Environmental Solutions
VLS ENVIRONMENTAL SOLUTIONS,VLS Environmental Solutions
VOGEL DISPOSAL SERVICE,VOGEL DISPOSAL SERVICE
VALLEY VISTA SERVICES,Valley Vista Services
"Valley Vista Services, Inc.",Valley Vista Services
VALLEY WASTE SERVICE INC.,"Valley Waste Service, Inc."
VANDERPOEL DISPOSAL,Vanderpoel Disposal
VARNER BROS INC,"Varner Bros., Inc"
"VELPEN TRUCKING & DISPOSAL CO, INC",Velpen Trucking & Disposal
"Virgin Valley Disposal, Inc.","Virgin Valley Disposal, Inc"
Vista Recycling,Vista Recycling
VISTA RECYCLING,Vista Recycling
VISTA RECYCLING INC,Vista Recycling
Volunteer Disposal West,Volunteer Disposal West
Walker Lake Disposal,"WALKER LAKE DISPOSAL, INC"
"WASTE CONNECTIONS PENN WASTE, INC",WASTE CONNECTIONS - PENN WASTE
"Waste Watchers of Savannah, LLC",WASTE WATCHERS OF SAVANNAH
WAYN-O'S DISPOSAL SERVICE LLC.,"WAYN-O'S DISPOSAL SERVICE, LLC"
WB Waste Solutions,WB Waste Solutions LLC
WG Waste,WG Waste
WG WASTE,WG Waste
WG Waste LLC,WG Waste
"WG Waste, LLC",WG Waste
WIN WASTE INNOVATIONS,WIN WASTE INNOVATIONS
WIN Waste Innovations,WIN WASTE INNOVATIONS
"WM COMPACTOR SOLUTIONS, INC.","WM Compactor Solutions, Inc"
Walter's Recycling & Refuse,"Walter's Recycling & Refuse, Inc."
Walters Sanitary Service,"Walters Sanitary Service, Inc"
"Walters Sanitary Service, Inc.","Walters Sanitary Service, Inc"
Ware Disposal,"Ware Disposal, Inc"
WARE DISPOSAL,"Ware Disposal, Inc"
WASATCH INTEGRATED waste management district,Wasatch Integrated Waste Management District
Waste Advantage,Waste Advantage
"WASTE CONNECTIONS C&S WASTE SOLUTIONS OF LASSEN COUNTY, LLC",Waste Connections - C&S Waste Solutions of Lassen County
Waste Connections - E.L. HARVEY & SONS INC.,Waste Connections - E.L. Harvey & Sons Inc.
Waste Connections - E.L. Harvey & Sons Inc.,Waste Connections - E.L. Harvey & Sons Inc.
Waste Connections - J&J Services,Waste Connections - J&J Services
WASTE CONNECTIONS METHVIN SANITATION,Waste Connections - Methvin Sanitation
Waste Connections - Scott Waste Services 6052,Waste Connections - Scott Waste Services 6052
Waste Connections - Tampa,Waste Connections - Tampa
Waste Connections Of Texas,Waste Connections of Texas
"Waste Connections of Texas, LLC",Waste Connections of Texas
WASTE CONNECTIONS OF TEXAS LLC,Waste Connections of Texas
"WASTE CONNECTIONS OF TEXAS, LLC",Waste Connections of Texas
Waste Disposal,"Waste Disposal, LLC"
WASTE DISPOSAL LLC,"Waste Disposal, LLC"
WASTE DISPOSAL,"Waste Disposal, LLC"
WASTE hARMONICS,"Waste Harmonics, LLC"
Waste Harmonics,"Waste Harmonics, LLC"
"Waste Harmonics, LLC","Waste Harmonics, LLC"
WASTE MANAGEMENT,Waste Management
Waste Management,Waste Management
Waste Management - National,Waste Management - National
Waste Management National,Waste Management - National
"WASTE MANAGEMENT OF COLORADO, INC.",Waste Management of Colorado
Waste Management of Colorado,Waste Management of Colorado
Waste Masters Solutions,Waste Masters Solutions
"Waste Partners, Inc.",Waste Partners Inc.
Waste Partners Inc,Waste Partners Inc.
"WASTE PATH SERVICES, LLC","Waste Path Services, LLC"
Waste Path Services,"Waste Path Services, LLC"
WASTE PRO,Waste Pro
WASTE PRO Caring For Our Communities,Waste Pro
WASTE PRO®,Waste Pro
WASTE-PRO,Waste Pro
Waste Pro,Waste Pro
Waste Pro - Atlanta 202,Waste Pro - Atlanta 202
"WASTE PRO HAWAII, LLC",Waste Pro - Hawaii
WASTE PRO HAWAII,Waste Pro - Hawaii
Waste Pro - Meridian 602,Waste Pro - Meridian 602
Waste Pro -Meridian 602,Waste Pro - Meridian 602
Waste Pro - New Orleans 604,Waste Pro - New Orleans 604
WASTE PRO - Pembroke Pines 117,Waste Pro - Pembroke Pines 117
Waste & Recycling,"Waste Recycling, Inc"
"WASTE & RECYCLING, INC.","Waste Recycling, Inc"
"Waste Recycling, Inc.","Waste Recycling, Inc"
WASTE & RECYCLING,"Waste Recycling, Inc"
Waste Removal and Recycling,"Waste Removal and Recycling, Inc"
"Waste Services, Inc.",Waste Services
WASTE SERVICES INC.,Waste Services
"Waste Services, LLC",Waste Services
Waste Services,Waste Services
"WASTE SERVICES, INC.",Waste Services
WASTE SERVICES,Waste Services
"WASTE SERVICES, LLC.",Waste Services
Waste Services LLC,Waste Services
WASTEWISE METHOW,WasteWise Methow
"WASTELESS SOLUTIONS, LLC",Wasteless Solutions
Wasteology,Wasteology
WASTEOLOGY,Wasteology
Waterman Recycling & Disposal,Waterman Recycling & Disposal
WATERTOWN IRON & METAL,Watertown Iron & Metal Co
"Weaver's Sanitation Svc, Inc.","Weaver's Sanitation Svc, Inc."
WEMIGA WASTE INC.,Wemiga Waste
"Werlor, Inc.","Werlor, Inc"
Wessco Waste & Recycling Equipment,Wessco Waste & Recycling Equipment
WEST CENTRAL SANitation,"West Central Sanitation, Inc"
West Central Sanitation,"West Central Sanitation, Inc"
West Georgia Sanitation,West Georgia Sanitation
"WEST OAHU AGGREGATE CO., INC.",West Oahu Aggregate
West Texas Dumpsters,West Texas Dumpsters
Westrock,WestRock
WESTBURY PAPER STOCK CORP.,Westbury Paper Stock Corp
Western Disposal Services,Western Disposal Services
WESTERN ELITE,Western Elite
Western Kane County,Western Kane County
Western Waste Services,"Western Waste Services, Inc"
WESTSIDE DISPOSAL,Westside Disposal
WESTSIDE WASTE MANAGEMENT,"Westside Waste Management Co, Inc."
WHAT A WASTE,"What a Waste, LLC"
"WHAT A WASTE, LLC","What a Waste, LLC"
White County Solid Waste,White County Solid Waste
"Willey's Refuse Disposal, Inc.","Willey's Refuse Disposal, Inc"
Willey's Refuse Disposal,"Willey's Refuse Disposal, Inc"
William Branscum,William Branscum
Windsor Sanitation Inc,Windsor Sanitation
Wingfield Service,Wingfield Service
Wise Environmental Solutions,Wise Environmental Solutions
"Wise Environmental Solutions, INC.",Wise Environmental Solutions
Wompost LLC,Wompost
"Wompost, LLC",Wompost
Woods Hauling Service,Woods Hauling Service
Wright's Environmental,Wright's Environmental
"Yreka Transfer, LLC",Yreka Transfer
Yreka Transfer,Yreka Transfer
ZTERS Inc,ZTERS
"Zach Erwin Construction, Inc.",Zach Erwin Construction Inc
ZAMPOGNA LLC,Zampogna Inc
ZAMPOGNA INC.,Zampogna Inc
Zarc Recycling,"Zarc Recycling, LLC"
Zero Waste & Recycling Services Inc.,Zero Waste & Recycling Services Inc
